Thomas Arnold 	1795	1842	 English educator
Antonin Artaud 	1896	1948	 French dramatist, poet, actor
Chester A. Arthur 	1830	1886	 US president (21st)
Sholem Asch 	1880	1957	 US novelist
Roger Ascham 	1515	1568	
Arthur Ashe 	1943	1993	 US tennis player, AIDS spokesperson
Daisy Ashford 	1881	1972	 English novelist
Herbert Henry Asquith 	1852	1928	 English statesman
Margot Asquith 	1864	1945	 English author
Fred Astaire 	1899	1987	 US dancer, actor
Mary Astor 	1906	1987	 US actress
Nancy Astor 	1879	1964	 English stateswoman
Brooks Atkinson 	1894	1984	 US drama critic, journalist
Clement Attlee 	1883	1967	 English labour party leader
John Aubrey 	1626	1697	 English antiquarian, writer
Jane Austen 	1775	1817	 English novelist
Mary Austin 	1868	1934	 US writer, suffragist
Roger W. Babson 	1875	1967	 US statistician, columnist
Johann Sebastian Bach 	1685	1750	 German composer, organist
Francis Bacon 	1561	1626	 English philosopher, statesman, essayist
Bugs Baer 	1886	1969	 US journalist, cartoonist
Walter Bagehot 	1826	1877	 English economist, editor, critic, analyst
Enid Bagnold 	1889	1981	 English novelist, playwright
Pearl Bailey 	1918	1990	 US singer, actress
Philip James Bailey 	1816	1902	 English poet
Joanna Baillie 	1762	1851	 Scottish poet, dramatist
Ella Baker 	1903	1986	 US civil rights activist
Josephine Baker 	1906	1975	 French dancer, singer, entertainer
Mikhail Bakunin 	1814	1876	 Russian anarchist
George Balanchine 	1904	1983	 Russian choreographer
Faith Baldwin 	1893	1978	 US novelist
James Baldwin 	1924	1987	 US novelist, essayist
Monica Baldwin 	1896	1975	 English writer
Stanley Baldwin 	1867	1947	 English statesman
A. J. Balfour 	1848	1930	 English statesman
Lucille Ball 	1911	1989	 US comic actress
Hosea Ballou 	1771	1852	 US clergyman
Honore de Balzac 	1799	1850	 French author
Toni Cade Bambara 	1939	1995	 US writer
George Bancroft 	1800	1891	 US historian, author
Lester Bangs 	1948	1982	 US critic, author
Tallulah Bankhead 	1903	1968	 US actress
Benjamin Banneker 	1731	1806	 US astronomer, inventor, poet
Anna Letitia Barbauld 	1743	1825	 English poet, writer
Pedro Calderon de la Barca 	1600	1681	 Spanish dramatist, poet
Djuna Barnes 	1892	1982	 US novelist, poet, illustrator, dramatist
Natalie Clifford Barney 	1876	1972	 US author
P. T. Barnum 	1810	1891	 US circus owner
Amelia Barr 	1831	1919	 US author, journalist
James Matthew Barrie 	1860	1937	 Scottish dramatist, novelist
Ethel Barrymore 	1879	1959	 US actress
John Barrymore 	1882	1942	 US actor
Karl Barth 	1886	1968	 Swiss theologian
Roland Barthes 	1915	1980	 French critic
Bruce Barton 	1886	1967	 US author, advertising executive
Clara Barton 	1821	1912	 US humanitarian
Bernard Baruch 	1870	1965	 US businessman, statesman
Count Basie 	1904	1984	 US jazz pianist, composer
Georges Bataille 	1897	1962	 French librarian, writer
Charles Baudelaire 	1821	1867	 French poet, critic, translator
Thomas Haynes Bayly 	1797	1839	
Charles A. Beard 	1874	1948	 US historian
James Beard 	1903	1985	 US chef, author
Mary Ritter Beard 	1876	1958	 US historian, writer
Romare Howard Bearden 	1914	1988	 US artist, collagist
Cecil Beaton 	1904	1980	 English photographer
Pierre de Beaumarchais 	1732	1799	 French dramatist
Francis Beaumont 	1586	1616	 English playwright
Simone de Beauvoir 	1908	1986	 French writer
William Maxwell Beaverbrook 	1879	1964	 English publisher, statesman
Samuel Beckett 	1906	1989	 Irish playwright, novelist
Thomas Beecham 	1879	1961	 English conductor
Catharine Esther Beecher 	1800	1878	 US educator, author
Henry Ward Beecher 	1813	1887	 US clergyman, abolitionist
Max Beerbohm 	1872	1956	 English essayist, caricaturist, parodist
Ludwig van Beethoven 	1770	1827	 German composer
Brendan Behan 	1923	1964	 Irish dramatist, author
Aphra Behn 	1640	1689	 English playwright, poet
Clive Bell 	1881	1964	 English art critic
Hilaire Belloc 	1870	1953	 English writer, poet
Robert Benchley 	1889	1945	 US humorist
Ruth Benedict 	1887	1948	 US anthropologist
Walter Benjamin 	1892	1940	 German man of letters, aesthetician
Arnold Bennett 	1867	1931	 English novelist
Gwendolyn Bennett 	1902	1981	 US poet, artist
Jack Benny 	1894	1974	 US comedian
A. C. Benson 	1862	1925	 English writer
Ezra Taft Benson 	1899	1994	 US political, religious leader
Jeremy Bentham 	1748	1832	 English philosopher, economist, jurist
Edmund Clerihew Bentley 	1875	1956	 English journalist, novelist
Bernard Berenson 	1865	1959	 US art historian
Ingrid Bergman 	1915	1982	 Swedish actress
Henri Bergson 	1859	1941	 French philosopher
Irving Berlin 	1888	1989	 US composer
Hector Berlioz 	1803	1869	 French composer
Georges Bernanos 	1888	1948	 French novelist, polemical writer
Claude Bernard 	1813	1878	 French physiologist
Tristan Bernard 	1866	1947	 French playwright, novelist, journalist, lawyer
William Bernbach 	1911	1982	 US advertising executive, copywriter
Sarah Bernhardt 	1844	1923	 French actress
Leonard Bernstein 	1918	1990	 US composer, conductor
Mary McLeod Bethune 	1875	1955	 US educator, writer
Ugo Betti 	1892	1953	 Italian playwright
Aneurin Bevan 	1897	1960	 English politician
W. H. Beveridge 	1879	1963	 English economist
Josh Billings 	1818	1885	 US writer
Augustine Birrell 	1850	1933	 English politician, man of letters
Elizabeth Bishop 	1911	1979	 US poet
Jim Bishop 	1907	1987	 US author, journalist
Otto von Bismarck 	1815	1898	 German statesman
Hugo L. Black 	1886	1971	 US supreme court justice
William Blackstone 	1723	1780	 English jurist
Antoinette Brown Blackwell 	1825	1921	 US abolitionist, feminist, clergy
Elizabeth Blackwell 	1821	1910	 US physician, author
Emily Blackwell 	1826	1910	 US physician, author
Red Blaik 	1897	1989	 US football coach
William Blake 	1757	1827	 English poet, artist, visionary
Helena Petrova Blavatsky 	1831	1891	 Russian author, translator, theosophist
Lady Marguerite Blessington 	1789	1849	 English socialite, writer
Allan Bloom 	1930	1992	 US educator, actor
Leon Blum 	1872	1950	 French politician
Louise A. Bogan 	1897	1970	 US lyric poet, critic
Humphrey Bogart 	1899	1957	 US actor
Niels Bohr 	1885	1962	 Danish physicist
Nicolas Boileau 	1636	1711	 French literary poet, critic
Henry St. John Bolingbroke 	1678	1751	 English statesman
Robert Bolt 	1924	1995	 English playwright, screen writer
Sarah Knowles Bolton 	1841	1916	 US poet, editor, social reformer
Erma Bombeck 	1927	1996	 US journalist, author, humorist
Napoleon Bonaparte 	1769	1821	 French soldier, emperor
Dietrich Bonhoeffer 	1906	1945	 German theologian
Arna Bontemps 	1902	1973	 US poet, writer
Corrie Ten Boom 	1892	1983	 Dutch evangelist
William Booth 	1829	1912	 English religious leader
Hal Borland 	1900	1978	 US journalist
Martin Bormann 	1900	1945	 German political leader
George Borrow 	1803	1881	 English traveler, linguist
James Boswell 	1740	1795	 Scottish lawyer, biographer
Nadia Boulanger 	1887	1979	 French conductor, educator
Christian Nestell Bovee 	1820	1904	 US author, lawyer
Catherine Drinker Bowen 	1897	1973	 US writer
Elizabeth Bowen 	1899	1973	 Irish author
Francis H. Bradley 	1846	1924	 English philosopher
Omar Bradley 	1893	1981	 US army general
Tycho Brahe 	1546	1601	 Danish astronomer
William Stanley Braithwaite 	1878	1962	 US educator, poet, critic
Ernest Bramah 	1867	1942	 English humorous writer
Louis Brandeis 	1856	1941	 US supreme court justice
Georges Braque 	1882	1963	 French painter, sculptor, designer
Bertolt Brecht 	1898	1956	 German dramatist, poet
William J. Brennan, Jr. 	1906	1997	 US jurist
Andre Breton 	1896	1966	 French poet, essayist, critic, editor
Kingman Brewster, Jr. 	1919	1988	 US educator, diplomat
Leonid Ilyich Brezhnev 	1906	1982	 Russian political leader
Fanny Brice 	1891	1951	 US singing comedienne
Robert Bridges 	1844	1930	 English poet
John Bright 	1811	1889	 English politician, orator
Arthur Brisbane 	1864	1936	 US newspaper editor, writer
Benjamin Britten 	1913	1976	 English composer
Hermann Broch 	1886	1951	 German writer
Fawn M. Brodie 	1915	1981	 US author
Jacob Bronowski 	1908	1974	 English historian, mathematician
Anne Bronte 	1820	1849	 English novelist, poet
Charlotte Bronte 	1816	1855	 English novelist, poet
Emily Bronte 	1818	1848	 English novelist
Rupert Brooke 	1887	1915	 English poet
Louise Brooks 	1906	1985	 US actress
Phillips Brooks 	1835	1893	 US clergyman
Van Wyck Brooks 	1886	1963	 US literary critic, cultural historian
Heywood C. Broun 	1888	1939	 US journalist, author
John Mason Brown 	1900	1969	 US critic, lecturer
Paul Brown 	1908	1991	 US footbal coach
Sterling Brown 	1901	1989	 US poet, critic, educator
William Wells Brown 	1815	1884	 US antislavery lecturer, novelist, playwright
Thomas Browne 	1605	1682	 English physician, writer
Elizabeth Barrett Browning 	1806	1861	 English poet
Robert Browning 	1812	1889	 English poet
Lenny Bruce 	1925	1966	 US comedian, satirist, author
William Jennings Bryan 	1860	1925	 US lawyer, orator, statesman
Bear Bryant 	1913	1983	 US football coach
William C. Bryant 	1794	1878	 US poet, editor
James Bryce 	1838	1922	 English diplomat, author
Yul Brynner 	1920	1985	 US actor
John Buchan 	1875	1940	 Scottish author, government official
James Buchanan 	1791	1868	 US president (15th)
Pearl Buck 	1892	1973	 US author
Charles Bukowski 	1920	1994	 US author
Ralph Bunche 	1904	1971	 US diplomat, educator
Basil Bunting 	1900	1985	 English poet
John Bunyan 	1628	1688	 English clergyman, author
Luther Burbank 	1849	1926	 US naturalist, plant breeder
Warren E. Burger 	1907	1995	 US supreme court justice
Anthony Burgess 	1917	1993	 English novelist, critic, man of letters
Gelett Burgess 	1866	1951	 US writer, poet, humorist
Edmund Burke 	1729	1797	 English statesman, orator
Gilbert Burnet 	1643	1715	 Scottish theologian, religious leader
Leo Burnett 	1891	1971	 US advertising executive
Fanny Burney 	1752	1840	 English novelist, letter writer
George Burns 	1896	1996	 US comedian, actor
Robert Burns 	1759	1796	 Scottish poet
John Burroughs 	1837	1921	 US author, naturalist
Nannie Burroughs 	1883	1961	 US educator
Isabel Burton 	1831	1896	 English traveler, author
Richard Burton 	1925	1984	 Welsh actor
Richard Francis Burton 	1821	1890	 English scholar, explorer
Robert Burton 	1577	1640	 English scholar, writer, clergyman
Leo Buscaglia 	1925	1998	 US author, educator
Vannevar Bush 	1890	1974	 US electrical engineer, government official
Nicholas Butler 	1862	1947	 US educator
Samuel Butler 	a	 (1612	1680) English poet, satirist, painter, philosopher
Samuel Butler 	b	 (1835	1902) English novelist, satirist, scholar
Charles Buxton 	1823	1871	 English author
Luis Bunuel 	1900	1983	 Mexican film director
Witter Bynner 	1881	1968	 US author
James F. Byrnes 	1879	1972	 US politician, administrator
George Gordon Byron 	1788	1824	 English poet
James Branch Cabell 	1879	1958	 US novelist, writer
Herb Caen 	1916	1997	 US journalist, columnist, author
John Cage 	1912	1992	 US composer, poet, essayist, painter, pianist
Lynn Caine 	1927	1987	 US writer, lecturer
Alexander Calder 	1898	1976	 US sculptor
Mary Steichen Calderone 	1904	1998	 US physician, author
Taylor Caldwell 	1900	1985	 English novelist
Maria Callas 	1923	1977	 US opera singer
John Calvin 	1509	1564	 French theologian, ecclesiastical statesman
Joseph Campbell 	1904	1987	 US author, editor
Mrs. Patrick Campbell 	1865	1940	 English actress
Thomas Campbell 	1777	1844	 Scotish poet
Thomas Campion 	1567	1620	 English poet, composer, physician
Albert Camus 	1913	1960	 French philosopher, novelist, dramatist
Elias Canetti 	1905	1994	 Swiss author
George Canning 	1770	1827	 English statesman
Al Capone 	1899	1947	 US gangster
Al Capp 	1909	1979	 US cartoonist
Frank Capra 	1897	1991	 US director
Benjamin Cardozo 	1870	1938	 US supreme court justice, writer
Thomas Carlyle 	1795	1881	 Scottish essayist, historian
Bliss Carman 	1861	1929	 Canadian poet, author
Stokely Carmichael 	1941	1998	 US civil rights leader
Andrew Carnegie 	1835	1919	 US industrialist, philanthropist
Dale Carnegie 	1888	1955	 US teacher, writer
Karen Carpenter 	1950	1983	 US singer
Emily Carr 	1871	1945	 Canadian artist, writer
Alexis Carrel 	1873	1944	 US surgeon, biologist
Lewis Carroll 	1832	1898	 English author
Rachel Carson 	1907	1964	 US biologist, writer
Betty Carter 	1929	1998	 US jazz singer
Lillian Carter 	1898	1983	 US nurse, first mother
George Washington Carver 	1864	1903	 US chemist, educator
Joyce Cary 	1888	1957	 English novelist
Catherine the Great 	1729	1796	 Russian empress
Bennett Cerf 	1898	1971	 US journalist, publisher
Miguel de Cervantes 	1547	1616	 Spanish novelist, dramatist, poet
Paul Cezanne 	1839	1906	 French painter
Joseph Chamberlain 	1836	1914	 English politician, businessman, social reformer
Neville Chamberlain 	1869	1940	 English political leader
Nicolas Chamfort 	1741	1794	 French journalist, playwright, aphorist
Coco Chanel 	1883	1971	 French fashion designer
William E. Channing 	1780	1842	 US moralist, author, clergyman
Edwin Hubbel Chapin 	1814	1880	 US clergyman, author
Charlie Chaplin 	1889	1977	 English actor, director, composer
George Chapman 	1560	1634	 English dramatist, translator, poet
John Jay Chapman 	1862	1933	 US poet, dramatist, critic
Maria Weston Chapman 	1806	1885	 US abolitionist, editor
Pierre Teilhard de Chardin 	1881	1955	 French philosopher, paleontologist
Charles II 	1630	1685	 British ruler
Charles V 	1500	1558	 Roman emperorer, ruler
Emile Chartier 	1868	1951	
Ilka Chase 	1905	1978	 US actress, writer
Geoffrey Chaucer 	1340	1400	 English poet
Charles W. Chesnutt 	1858	1932	 US novelist, lawyer
Philip Dormer Chesterfield 	1694	1773	 English statesman, author
G. K. Chesterton 	1874	1936	 English essayist, novelist, journalist, poet
Maurice Chevalier 	1888	1972	 French actor, singer
Lydia M. Child 	1802	1880	 US author
Alice Childress 	1920	1994	 US playwright, actress, director
Rufus Choate 	1799	1859	 US lawyer, politican
Kate Chopin 	1851	1904	 US author
Agatha Christie 	1890	1976	 English author, dramatist
Christina of Sweden 	1626	1689	 Swedish ruler
Jennie Jerome Churchill 	1854	1921	 US socialite
Winston Churchill 	1874	1965	 English statesman, author
John Ciardi 	1916	1986	 English dramatist, actor, author
Colley Cibber 	1671	1757	 English playwright, poet, actor
John Clare 	1793	1864	 English poet
Kenneth MacKenzie Clark 	1903	1983	 English art historian, author
James Freeman Clarke 	1810	1888	 US minister, theologian, author
Karl von Clausewitz 	1780	1831	 Prussian military leader, author
Henry Clay 	1777	1852	 US politician, lawyer
Eldridge Cleaver 	1935	1998	 US political activist, civil rights leader
Georges Clemenceau 	1841	1929	 French statesman
Grover Cleveland 	1837	1908	 US president (22nd, 24th)
Montgomery Clift 	1920	1966	 US actor
Arthur Hugh Clough 	1819	1861	 English poet
Elizabeth Coatsworth 	1893	1986	 US poet, children's author
Irvin S. Cobb 	1876	1944	 US journalist, author
William Cobbett 	1762	1835	 English journalist, author
Richard Cobden 	1804	1865	 English politician
Alexander Cockburn 	1802	1880	 English lawyer
Jean Cocteau 	1889	1963	 French poet, novelist, director
Edward Coke 	1552	1634	 English judge, politician
Claudette Colbert 	1903	1996	 French actress
Frank Moore Colby 	1865	1925	 US encyclopedia editor, essayist
Nat King Cole 	1919	1965	 US singer, bandleader
Samuel Taylor Coleridge 	1772	1834	 English poet, critic, essayist
Colette 	1873	1954	 French author
Jeremy Collier 	1650	1726	 English bishop
Wilkie Collins 	1824	1889	 English novelist
Charles Caleb Colton 	1780	1832	 English sportsman, writer
John Coltrane 	1926	1967	 US jazz musician, composer, bandleader
Christopher Columbus 	1451	1506	 Italian explorer
Amie Comeaux 	1976	1997	 US country singer
James B. Conant 	1893	1978	 US university administrator, diplomat
William Congreve 	1670	1729	 English dramatist
Cyril Connolly 	1903	1974	 English journalist, editor, writer
Eliza Cook 	1818	1889	 English poet
Charles Horton Cooley 	1864	1929	 US sociologist
Calvin Coolidge 	1872	1933	 US president (30th), lawyer
Anna Julia Cooper 	1859	1964	 US educator, feminist, writer
James Fenimore Cooper 	1789	1851	 US novelist
Nicolas Copernicus 	1473	1543	 Polish astronomer
Aaron Copland 	1900	1990	 US composer
Pierre Corneille 	1606	1684	 French dramatist, poet
Joseph Seamon Cotter, Jr. 	1895	1919	 US poet
Henry Cotton 	1907	1987	 English golfer
Gustave Courbet 	1819	1877	 French painter
Norman Cousins 	1912	1990	 US editor, essayist
Jacques Cousteau 	1910	1997	 French naval officer, explorer
Noel Coward 	1899	1973	 English playwright, actor, composer, director
Hannah Cowley 	1743	1809	 English playwright
Malcolm Cowley 	1898	1989	 US critic, author
William Cowper 	1731	1800	 English poet
Dinah Mulock Craik 	1826	1887	 English novelist
Joan Crawford 	1908	1977	 US actress, dancer
Davy Crockett 	1786	1836	 US frontiersman, soldier, politician
Oliver Cromwell 	1599	1658	 English soldier, statesman
Alexander Crummell 	1819	1898	 US religious leader
Countee Cullen 	1903	1946	 US poet
Will Cuppy 	1884	1949	 US writer, critic
George William Curtis 	1824	1892	 US author, editor
Harvey Cushing 	1869	1939	 US surgeon
Salvador Dali 	1904	1989	 Spanish painter, printmaker
Dante 	1265	1321	 Italian poet
Georges Jacques Danton 	1759	1794	 French revolutionary leader, orator
Clarence Darrow 	1857	1938	 US lawyer
Charles Darwin 	1809	1882	 English naturalist, author
Erasmus Darwin 	1731	1802	 English physician, poet
Duffy Daugherty 	1915	1987	 US football coach
Robertson Davies 	1913	1995	 Canadian author
Adelle Davis 	1904	1974	 US nutritionist, author
Bette Davis 	1908	1989	 US actress
Elizabeth Gould Davis 	1910	1974	 US librarian, writer
Elmer Davis 	1890	1958	 US journalist, news commentator
Jefferson Davis 	1808	1889	 US political leader
Miles Davis 	1926	1991	 US jazz musician, composer
Rebecca Harding Davis 	1831	1910	 US author, journalist, critic
Sammy Davis, Jr. 	1925	1990	 US actor, singer, dancer
Humphrey Davy 	1778	1829	 English chemist
Clarence Day 	1874	1935	 US biographer, essayist
Dorothy Day 	1897	1980	 US editor, humanitarian, women's rights advocate
Joseph Marie De Maistre 	1753	1821	 French diplomat, writer
Charles DeGaulle 	1890	1970	 French president, politician, military leader
Dizzy Dean 	1911	1974	 US baseball player, sportscaster
Guy Debord 	1931	1994	 French social reformer, author
Eugene Debs 	1855	1926	 US labor organizer
Claude Debussy 	1862	1918	 French composer
Marie Anne du Deffand 	1697	1780	 French intellectual
Daniel Defoe 	1660	1731	 English author
Edgar Degas 	1834	1917	 French artist
Eugene Delacroix 	1798	1863	 French painter
Annie Elizabeth Delany 	1891	1995	 US dentist
Martin Delany 	1812	1885	 US physician, activist, novelist
W. Edwards Deming 	1900	1993	 US management consultant, statistician, educator
Jack Dempsey 	1895	1983	 US boxer
John Denham 	1615	1668	 English poet, dramatist
Morarji Desai 	1896	1995	 Indian government official
Rene Descartes 	1596	1650	 French philosopher, mathematician, scientist
Helene Deutsch 	1884	1982	 US psychoanalyst
John Dewey 	1859	1952	 US philosopher, educator
Thomas E. Dewey 	1902	1971	 US lawyer, politician
Princess of Wales Diana 	1961	1997	 British royalty
Charles Dibdin 	1745	1814	 English dramatist, songwriter
Philip K. Dick 	1928	1982	 US science fiction writer
Charles Dickens 	1812	1870	 English novelist, dramatist
Emily Dickinson 	1830	1886	 US poet
Denis Diderot 	1713	1784	 French editor, philosopher
Ernest Dimnet 	1866	1954	 French cleric
Everett M. Dirksen 	1896	1969	 US politician
Walt Disney 	1901	1966	 US movie, producer
Benjamin Disraeli 	1804	1881	 English statesman, novelist
Dorothy Dix 	1870	1951	 US journalist, writer
Austin Dobson 	1840	1921	 English poet, critic, biographer
Dogen 	1200	1253	 Japanese religious leader
John Donne 	1573	1631	 English poet
Carl Van Doren 	1885	1950	 US author, teacher
Mark Van Doren 	1894	1972	 US poet, writer
John Dos Passos 	1896	1970	 US writer
Fyodor Dostoyevsky 	1821	1881	 Russian novelist
Helen Gahagan Douglas 	1900	1980	 US actress, opera singer, politician
Norman Douglas 	1868	1952	 Scottish novelist
William O. Douglas 	1898	1980	 US supreme court justice
Frederick Douglass 	1817	1895	 US lecturer, author
Arthur Conan Doyle 	1859	1930	 Scottish author, physician
Ruth Draper 	1884	1956	 US actress
Theodore Dreiser 	1871	1945	 US novelist, editor
Henry Drummond 	1851	1897	 Scottish clergyman, naturalist
John Dryden 	1631	1700	 English poet, dramatist, critic
W. E. B. Du Bois 	1868	1963	 US writer, social reformer
Daphne DuMaurier 	1907	1989	 English novelist
Jean Dubuffet 	1901	1985	 French painter, sculptor, printmaker
Raoul Dufy 	1877	1953	 French painter, designer
John Foster Dulles 	1888	1959	 US government official
Alexandre Dumas, fils 	1824	1895	 French dramatist
Isadora Duncan 	1877	1927	 US dancer
Sara Jeannette Duncan 	1861	1922	 US writer
Finley Peter Dunne 	1867	1936	 US journalist, humorist
Ariel Durant 	1898	1981	 US author
Will Durant 	1885	1981	 US historian, author
Jimmy Durante 	1893	1980	 US comedian
Emile Durkheim 	1858	1917	 French sociologist
Leo Durocher 	1906	1991	 US baseball player, manager
Eleonora Duse 	1858	1924	 Italian actress
Henry Vandyke 	1852	1933	 US poet, clergy, educator
Amelia Earhart 	1898	1937	 US aviatrix
Max Eastman 	1883	1969	 US author
Mary Baker Eddy 	1821	1910	 US religious leader, writer
Anthony Eden 	1897	1977	 English politican
Maria Edgeworth 	1767	1849	 English children's author
Thomas Edison 	1847	1931	 US inventor
Tryon Edwards 	1809	1894	
Loren Eiseley 	1907	1977	 US anthropologist, educator, author
Dwight D. Eisenhower 	1890	1969	 US president, military leader
Paul Eldridge 	1888	1982	 US educator, novelist, poet
George Eliot 	1819	1880	 English novelist
Elizabeth I 	1533	1603	 English ruler
Duke Ellington 	1899	1974	 US bandleader, songwriter
Havelock Ellis 	1859	1939	 English psychologist
Ralph Ellison 	1914	1994	 US author
Ralph Waldo Emerson 	1803	1882	 US philosopher, poet, essayist
Friedrich Engels 	1820	1895	 German philosopher
Paul Engle 	1908	1991	 US poet, author
John Erskine 	1879	1951	 US educator, musician, novelist
Sam Ervin 	1896	1985	 US politician
Ruth Etting 	1897	1978	 US singer
Bergen Evans 	1904	1978	 US lexicographer, educator
Edward Everett 	1794	1865	 US statesman, orator
Medgar Evers 	1925	1963	 US civil rights leader
Frantz Fanon 	1925	1961	 US psychoanalyst, philosopher
Michael Faraday 	1791	1867	 English physicist, chemist
Eliza Wood Burhans Farnham 	1815	1864	 US social reformer, lecturer
William Faulkner 	1897	1962	 US novelist
Jessie Redmon Fauset 	1882	1961	 US poet, novelist
William Feather 	1889	1981	 US author, publisher
Federico Fellini 	1920	1993	 Italian film director
Francois de Salignac Fenelon 	1651	1715	 French theologian, author
Millicent Fenwick 	1910	1992	 US diplomat, congresswoman
Edna Ferber 	1885	1968	 US novelist
Eugene Field 	1850	1895	 US poet, journalist
Marshall Field 	1834	1906	 US merchant
Rachel Field 	1894	1942	 US children's author
Henry Fielding 	1707	1754	 English novelist
W. C. Fields 	1880	1946	 US actor, comedian
Ronald Firbank 	1886	1926	 US novelist
Harvey S. Firestone 	1868	1938	 US industrialist
Dorothy Canfield Fisher 	1879	1958	 US author, essayist
M. F. K. Fisher 	1908	1992	 U.S. culinary expert, author
Rudolph Fisher 	1897	1934	 US novelist, physician
Minnie Maddern Fiske 	1865	1932	 US actress
Ella Fitzgerald 	1917	1996	 US jazz singer
F. Scott Fitzgerald 	1896	1940	 US author
Zelda Fitzgerald 	1900	1948	 US writer, celebrity relative
Janet Flanner 	1892	1978	 US journalist
Gustave Flaubert 	1821	1880	 French novelist
Ian Fleming 	1908	1964	 English author
John Fletcher 	1579	1625	 English dramatist, author
Ferdinand Foch 	1851	1929	 French field marshal
Jean de la Fontaine 	1621	1695	 French poet
Lynn Fontanne 	1887	1983	 US actress
B. C. Forbes 	1880	1954	 Scottish journalist
Malcolm Forbes 	1919	1990	 US publisher, editor
Henry Ford 	1863	1947	 US auto manufacturer
John Ford 	1586	1640	 English dramatist
John Sean O'Feeny Ford 	1895	1973	 US director
Tennessee Ernie Ford 	1919	1991	 US singer, actor
E. M. Forster 	1879	1970	 English novelist
James Forten 	1766	1842	 US businessman
T. Thomas Fortune 	1856	1928	 US journalist, editor
Harry Emerson Fosdick 	1878	1969	 US clergyman
Michel Foucault 	1926	1984	 English historian, philosopher
Gene Fowler 	1890	1960	 US journalist, biographer
Charles James Fox 	1749	1806	 English government official
Anatole France 	1844	1924	 French author
Felix Frankfurter 	1882	1965	 US supreme court justice
Benjamin Franklin 	1706	1790	 US statesman, diplomat, inventor, printer
E. Franklin Frazier 	1894	1962	 US sociologist, educator
Sigmund Freud 	1856	1939	 Austrian psychoanalyst
Max Frisch 	1911	1991	 Swiss dramatist, author
Robert Frost 	1874	1963	 US poet
James A. Froude 	1818	1894	 English historian
Elizabeth Fry 	1780	1845	 English social reformer, philanthropist
Northrop Frye 	1912	1991	 Canadian literary critic, educator
J. William Fulbright 	1905	1995	 US politician, lawyer, teacher
Margaret Fuller 	1810	1850	 US critic, social reformer, writer
Richard Buckminster Fuller 	1895	1983	 US architect, author
Thomas Fuller 	1608	1661	 English scholar, preacher
