dx,desc
v6283,other psychological or physical stress; cnsl perp phys/sex abuse
v6289,other psychological or physical stress; psychological stress nec
v629,unspecified psychosocial circumstance; psychosocial circum nos
v63,"unavailability of other medical facilities for care; no med facility for 
care*"
v630,"residence remote from hospital or other health care facility; home remote 
from hospitl"
v631,medical services in home not available; no medical serv in home
v632,"person awaiting admission to adequate facility elsewhere; wait adm to oth 
facility"
v638,"other specified reasons for unavailability of medical facilities; no med 
facilities nec"
v639,"unspecified reason for unavailability of medical facilities; no med 
facilities nos"
v64,"persons encountering health services for specific procedures;  not carried 
out"
v640,"vaccination not carried out because of contraindication; no 
vaccin/contraindicat"
v641,"surgical or other procedure not carried out because of contraindication; no 
proc/contraindication"
v642,"surgical or other procedure not carried out because of patient"" s decision; 
no proc/patient decision"
v643,procedure not carried out for other reasons; no proc for reasons nec
v644,procedure not carried out for other reasons; lap surg convert to open
v65,"other persons seeking consultation without complaint or sickness; other 
reason for consult*"
v650,healthy person accompanying sick person; healthy person w sick
v651,person consulting on behalf of another person; person consult for anoth
v652,person feigning illness; person feigning illness
v653,dietary surveillance & counseling; dietary surveil/counsel
v654,other counseling;  not elsewhere classified
v6540,other counseling; counseling nos
v6541,other counseling; exercise counseling
v6542,other counseling; counslng sbstn use abuse
v6543,other counseling; counseling injry prevent
v6544,other counseling; hiv counseling
v6545,other counseling; consln ot sex trnsmt dis
v6549,other counseling; other specfd counseling
v655,"person with feared complaint in whom no diagnosis was made; persn w feared 
complaint"
v658,other reasons for seeking consultation; reason for consult nec
v659,unspecified reason for consultation; reason for consult nos
v66,convalescence; convalescence*
v660,convalescence following surgery; surgical convalescence
v661,convalescence following radiotherapy; radiotherapy convalescen
v662,convalescence following chemotherapy; chemotherapy convalescen
